[[-0.18444642, 0.97781414, -0.58399546, -0.64333904, 0.1578553, -0.12873746, 0.0, 0.0], [1, 0, 1], -5.888023117622572]
[[-0.19034529, 0.9636482, -0.58148694, -0.62873185, 0.14945745, -0.16795667, 0.0, 0.0], [1, 0, 1], -2.8526831878696366]
[[-0.19619636, 0.95018536, -0.5748503, -0.59735805, 0.1392218, -0.20471361, 0.0, 0.0], [1, 0, 1], 1.7823169807411063]
[[-0.20198664, 0.9367513, -0.56681067, -0.595967, 0.12705909, -0.24325407, 0.0, 0.0], [1, 0, 1], 4.519772789269102]
[[-0.2078331, 0.92361975, -0.5703012, -0.5824678, 0.11280079, -0.28516626, 0.0, 0.0], [0, 0, 1], 7.501246231436188]
[[-0.21361919, 0.90989345, -0.5627144, -0.6089267, 0.09702412, -0.3155336, 0.0, 0.0], [0, 0, 1], 8.862686916754134]
[[-0.21934128, 0.8955903, -0.55462927, -0.6346439, 0.07960121, -0.34845826, 0.0, 0.0], [0, 0, 1], 10.459928753148738]
[[-0.22497658, 0.8807001, -0.54370236, -0.6608512, 0.059983466, -0.39235526, 0.0, 0.0], [0, 0, 0], 12.407224414039797]
[[-0.23061204, 0.865215, -0.5436989, -0.6875499, 0.040366236, -0.39234486, 0.0, 0.0], [0, 0, 0], 13.647016841356669]
[[-0.23624763, 0.84913504, -0.5436964, -0.7142488, 0.020749506, -0.3923345, 0.0, 0.0], [0, 0, 0], 14.90273679823124]
[[-0.24188328, 0.8324601, -0.5436948, -0.74094766, 0.0011333075, -0.39232406, 0.0, 0.0], [0, 0, 0], 16.175565885030004]
[[-0.24751893, 0.81519043, -0.5436942, -0.76764655, -0.018482367, -0.39231366, 0.0, 0.0], [0, 0, 0], 13.769873713948378]
[[-0.25315452, 0.7973258, -0.54369456, -0.7943455, -0.03809753, -0.39230326, 0.0, 0.0], [0, 0, 0], 11.156172106635061]
[[-0.25878996, 0.7788663, -0.5436958, -0.8210444, -0.057712164, -0.39229286, 0.0, 0.0], [1, 1, 0], 8.56140006864009]
[[-0.26446715, 0.76077336, -0.54990506, -0.80490744, -0.07533656, -0.35248783, 0.0, 0.0], [1, 1, 0], 8.99175486180622]
[[-0.270135, 0.7427294, -0.5510959, -0.8028093, -0.09087642, -0.31079713, 0.0, 0.0], [1, 1, 0], 8.723785050306436]
[[-0.27597538, 0.7256672, -0.5700611, -0.75923187, -0.104742035, -0.27731234, 0.0, 0.0], [1, 1, 0], 10.836625861563563]
[[-0.28196758, 0.7087894, -0.58704805, -0.75101584, -0.11683186, -0.24179657, 0.0, 0.0], [1, 1, 0], 10.272446573196149]
[[-0.28773913, 0.69255495, -0.56734884, -0.72233254, -0.12658106, -0.1949838, 0.0, 0.0], [1, 1, 0], 13.726821499605135]
[[-0.2937255, 0.6763729, -0.59052074, -0.71991, -0.13465963, -0.16157126, 0.0, 0.0], [1, 1, 0], 12.582629528178966]
[[-0.29982942, 0.6611485, -0.60399485, -0.6772321, -0.14103675, -0.12754245, 0.0, 0.0], [1, 1, 0], 15.126579311655258]
[[-0.30599427, 0.64640594, -0.61195385, -0.6556647, -0.14555585, -0.090381995, 0.0, 0.0], [1, 1, 0], 16.479993676354418]
[[-0.3120428, 0.63162977, -0.6025602, -0.6569466, -0.14784433, -0.045769386, 0.0, 0.0], [1, 1, 0], 17.531894094072662]
[[-0.31783384, 0.6176884, -0.57914776, -0.61960655, -0.14780131, 0.00086049055, 0.0, 0.0], [1, 1, 0], 22.520900145609325]
[[-0.32341546, 0.604521, -0.5604693, -0.5849876, -0.14549804, 0.046065323, 0.0, 0.0], [1, 1, 0], 27.12628392986445]
[[-0.32893473, 0.5913294, -0.55637807, -0.58586824, -0.14105631, 0.08883433, 0.0, 0.0], [1, 1, 0], 28.352832687382495]
[[-0.3342909, 0.5788124, -0.54228956, -0.5556925, -0.13440798, 0.13296652, 0.0, 0.0], [1, 1, 0], 32.663565756841415]
[[-0.3397495, 0.5663084, -0.5544068, -0.5549837, -0.12589821, 0.17019553, 0.0, 0.0], [1, 1, 0], 33.18427722770537]
[[-0.3453923, 0.5543788, -0.57449716, -0.52937376, -0.11573519, 0.20326062, 0.0, 0.0], [1, 1, 0], 34.91915721176817]
[[-0.3510967, 0.5432915, -0.5825272, -0.49186936, -0.10373283, 0.24004701, 0.0, 0.0], [1, 0, 0], 38.299282442373375]
[[-0.35669622, 0.5328333, -0.57214373, -0.46401128, -0.091641136, 0.24183416, 0.0, 0.0], [1, 0, 0], 42.35067014980111]
[[-0.36207074, 0.523074, -0.5503391, -0.43300676, -0.078880824, 0.25520647, 0.0, 0.0], [1, 0, 0], 47.46984662490045]
[[-0.3674563, 0.5137246, -0.5511462, -0.4149099, -0.06641704, 0.24927557, 0.0, 0.0], [1, 0, 0], 49.910794519100016]
[[-0.37274686, 0.50454897, -0.541941, -0.40728107, -0.053673804, 0.25486475, 0.0, 0.0], [1, 0, 0], 52.51045010109471]
[[-0.37816495, 0.49585277, -0.55392873, -0.38610786, -0.0416991, 0.23949416, 0.0, 0.0], [1, 0, 0], 54.04874908938145]
[[-0.38338837, 0.48725712, -0.5352859, -0.38171652, -0.028915243, 0.25567716, 0.0, 0.0], [1, 0, 0], 57.16350655750862]
