[[0.2048502, 1.2422757, 0.49327284, -0.7261779, -0.23197173, -0.1100844, 0.0, 0.0], [1, 0, 0], -33.09832725882757]
[[0.20986795, 1.2262746, 0.5072177, -0.712032, -0.23750073, -0.110579886, 0.0, 0.0], [1, 0, 0], -32.091490009441415]
[[0.21524572, 1.210775, 0.54241383, -0.6896271, -0.2422111, -0.09420788, 0.0, 0.0], [1, 0, 0], -31.744269053906326]
[[0.22076568, 1.1952522, 0.55642265, -0.6906411, -0.2467098, -0.08997382, 0.0, 0.0], [1, 1, 0], -32.016989945667966]
[[0.22653112, 1.179991, 0.5786861, -0.67863214, -0.24889624, -0.04372876, 0.0, 0.0], [1, 1, 0], -31.66888776513543]
[[0.23248205, 1.1656709, 0.5952394, -0.63647777, -0.2490433, -0.0029412997, 0.0, 0.0], [1, 0, 0], -28.680604960813746]
[[0.238723, 1.1515158, 0.6235327, -0.62901706, -0.24847282, 0.011409441, 0.0, 0.0], [1, 0, 0], -29.08595185731711]
[[0.2451806, 1.137343, 0.644685, -0.62971646, -0.24737287, 0.021999568, 0.0, 0.0], [1, 0, 0], -29.573418890293198]
[[0.25165454, 1.1234487, 0.6468913, -0.6174429, -0.2468631, 0.010194881, 0.0, 0.0], [1, 1, 0], -27.91053577829719]
[[0.25814295, 1.1098536, 0.64645207, -0.6038269, -0.2444262, 0.04873773, 0.0, 0.0], [0, 1, 0], -25.84909225437355]
[[0.26455575, 1.0956872, 0.63692254, -0.62890565, -0.23999247, 0.08867477, 0.0, 0.0], [0, 1, 0], -25.255076679897915]
[[0.27090055, 1.0809482, 0.62833345, -0.6540772, -0.23375362, 0.12477712, 0.0, 0.0], [0, 1, 0], -24.57057720500811]
[[0.27717218, 1.0656435, 0.61907256, -0.67894834, -0.2255533, 0.16400644, 0.0, 0.0], [0, 1, 0], -23.63595404562844]
[[0.28336582, 1.0497789, 0.6091893, -0.7035703, -0.21525083, 0.20604949, 0.0, 0.0], [0, 1, 0], -22.445012916119115]
[[0.28949937, 1.0333383, 0.60157114, -0.7290268, -0.20336019, 0.23781295, 0.0, 0.0], [0, 1, 0], -21.315804542885022]
[[0.29557505, 1.0163249, 0.5942267, -0.7543686, -0.18992779, 0.26864797, 0.0, 0.0], [0, 1, 0], -20.045288053120434]
[[0.30157918, 0.99874663, 0.5851357, -0.7793736, -0.17458883, 0.30677927, 0.0, 0.0], [0, 1, 0], -18.454604144810165]
[[0.30748987, 0.980588, 0.573359, -0.80505747, -0.15686296, 0.35451713, 0.0, 0.0], [0, 1, 0], -16.52841006730998]
[[0.31330413, 0.96185917, 0.5611737, -0.83038235, -0.13664773, 0.40430468, 0.0, 0.0], [0, 1, 0], -14.316082284829607]
[[0.31904888, 0.9425507, 0.55235744, -0.8562721, -0.11464374, 0.44008, 0.0, 0.0], [0, 1, 0], -12.169025728067453]
[[0.32471198, 0.9226602, 0.54203635, -0.88234144, -0.09056114, 0.4816521, 0.0, 0.0], [1, 1, 0], -9.751660345947895]
[[0.33029127, 0.9033221, 0.5317268, -0.8580849, -0.06461186, 0.51898557, 0.0, 0.0], [1, 1, 0], -3.249210467732624]
[[0.3358282, 0.8845586, 0.5254444, -0.8329519, -0.036696266, 0.5583121, 0.0, 0.0], [1, 1, 0], 3.2414093933206214]
[[0.34141293, 0.86589307, 0.52800524, -0.8291134, -0.0066061686, 0.601802, 0.0, 0.0], [1, 1, 0], 7.646802790648348]
[[0.34685773, 0.8476035, 0.51209795, -0.81303227, 0.02535914, 0.6393064, 0.0, 0.0], [1, 0, 0], 9.145386544089627]
[[0.35222197, 0.82963115, 0.5043746, -0.79962, 0.057021435, 0.6332463, 0.0, 0.0], [1, 0, 0], 8.678129140951574]
[[0.3576559, 0.81192225, 0.5109313, -0.7886182, 0.089154884, 0.64266914, 0.0, 0.0], [1, 0, 0], 7.148279954517551]
[[0.36309433, 0.7949783, 0.51107347, -0.75533265, 0.12168074, 0.6505172, 0.0, 0.0], [1, 0, 0], 7.686683113058365]
[[0.36856127, 0.7786287, 0.5134725, -0.7296951, 0.15478115, 0.6620079, 0.0, 0.0], [1, 0, 0], 7.3026037601061775]
[[0.3740018, 0.7627719, 0.5106155, -0.7085679, 0.18827777, 0.66993266, 0.0, 0.0], [1, 0, 0], 6.7320411691613575]
[[0.3792387, 0.7468781, 0.49103713, -0.71086955, 0.2211708, 0.6578609, 0.0, 0.0], [1, 0, 0], 5.27181272835623]
[[0.38429403, 0.73134345, 0.47330028, -0.69558936, 0.25389135, 0.6544108, 0.0, 0.0], [1, 0, 0], 5.111178450868454]
[[0.38925275, 0.71648586, 0.4633688, -0.666308, 0.28716505, 0.6654748, 0.0, 0.0], [1, 0, 0], 5.535923030318799]
[[0.3939287, 0.7023162, 0.43554673, -0.6364202, 0.3203071, 0.6628418, 0.0, 0.0], [1, 0, 0], 6.976308748909316]
[[0.3983737, 0.6889006, 0.41251287, -0.6036813, 0.35374662, 0.66879076, 0.0, 0.0], [1, 0, 0], 8.280768010147847]
[[0.40246725, 0.67556137, 0.3785084, -0.6007966, 0.38638124, 0.6526929, 0.0, 0.0], [1, 0, 0], 7.767887378482391]
[[0.40638477, 0.66272753, 0.3608269, -0.57913476, 0.41954362, 0.6632481, 0.0, 0.0], [1, 0, 0], 7.821778170934369]
[[0.41017255, 0.6500905, 0.34788957, -0.5712092, 0.45315522, 0.6722325, 0.0, 0.0], [1, 0, 0], 6.386972481935431]
[[0.4134306, 0.63820183, 0.29575902, -0.53851515, 0.48638135, 0.6645235, 0.0, 0.0], [1, 0, 0], 9.032798910430087]
[[0.4162097, 0.6268833, 0.24863052, -0.51373905, 0.5193334, 0.65904117, 0.0, 0.0], [1, 0, 0], 10.59632743076187]
[[0.41861027, 0.6162539, 0.21093383, -0.48390388, 0.55273527, 0.66803753, 0.0, 0.0], [1, 0, 0], 11.990919910757105]
[[0.42063886, 0.60582054, 0.17447662, -0.47577143, 0.5859587, 0.6644689, 0.0, 0.0], [0, 0, 0], 11.226175588321398]
[[0.42266196, 0.59479934, 0.17455193, -0.5025165, 0.6191796, 0.66441834, 0.0, 0.0], [0, 0, 0], 6.168246896745659]
[[0.42467946, 0.58319, 0.1746311, -0.52925986, 0.652398, 0.66436774, 0.0, 0.0], [0, 0, 0], 1.1353705876599225]
[[0.42669088, 0.5709923, 0.17471404, -0.5560014, 0.6856139, 0.66431725, 0.0, 0.0], [0, 0, 1], -3.8720261537331577]
[[0.42874804, 0.55827963, 0.18155318, -0.5785589, 0.7167801, 0.6233269, 0.0, 0.0], [0, 0, 1], -8.486575195522857]
[[0.4308712, 0.54505444, 0.19067001, -0.6006887, 0.74543935, 0.5731852, 0.0, 0.0], [0, 0, 1], -12.85450893708001]
[[0.43303633, 0.531309, 0.1968449, -0.62330216, 0.77214694, 0.5341527, 0.0, 0.0], [0, 0, 1], -16.96110682806143]
[[0.4352433, 0.5170252, 0.20274994, -0.64675534, 0.7971573, 0.50020826, 0.0, 0.0], [0, 0, 1], -20.947315034742626]
[[0.43749458, 0.5022247, 0.20907617, -0.6689862, 0.8200809, 0.45847216, 0.0, 0.0], [0, 0, 1], -24.602457323569194]
[[0.43978414, 0.48689055, 0.2144568, -0.6920824, 0.8412812, 0.4240063, 0.0, 0.0], [0, 0, 1], -28.122435117952005]
[[0.4421296, 0.4710667, 0.22221342, -0.71263254, 0.8597221, 0.36881942, 0.0, 0.0], [1, 0, 1], -31.183903775790906]
