[[-0.19163314, 1.2742999, -0.43067652, -0.72251314, 0.21662486, 0.096124396, 0.0, 0.0], [0, 0, 0], -30.087067717252353]
[[-0.19589242, 1.2574592, -0.4306759, -0.7491816, 0.22143106, 0.09612421, 0.0, 0.0], [1, 0, 0], -31.268969644650326]
[[-0.20036459, 1.2409353, -0.4516337, -0.73506516, 0.22589651, 0.08930877, 0.0, 0.0], [1, 0, 1], -30.311074838663064]
[[-0.20487694, 1.2244151, -0.4536159, -0.73459446, 0.22830778, 0.048225675, 0.0, 0.0], [1, 0, 1], -29.389130760044743]
[[-0.20950651, 1.2087817, -0.46339083, -0.6948874, 0.22874765, 0.00879725, 0.0, 0.0], [1, 0, 1], -25.485786117982222]
[[-0.21434312, 1.1933676, -0.48184794, -0.6847979, 0.22691154, -0.03672217, 0.0, 0.0], [1, 0, 1], -24.40906719477247]
[[-0.21914668, 1.1786128, -0.4767855, -0.6552166, 0.22329572, -0.072316185, 0.0, 0.0], [1, 0, 1], -20.312082170878533]
[[-0.22409543, 1.1640291, -0.48913747, -0.6473104, 0.21749015, -0.11611124, 0.0, 0.0], [1, 0, 1], -18.821276173320236]
[[-0.22912034, 1.1502944, -0.4948349, -0.60931975, 0.20975721, -0.15465876, 0.0, 0.0], [1, 0, 1], -14.487176327992382]
[[-0.23414727, 1.1366403, -0.49305654, -0.6055143, 0.20004179, -0.19430849, 0.0, 0.0], [1, 0, 0], -12.199768330507066]
[[-0.23925543, 1.1234641, -0.5014492, -0.5843821, 0.19061819, -0.1884719, 0.0, 0.0], [0, 0, 0], -9.289353352040195]
[[-0.2443637, 1.1096888, -0.5014471, -0.611056, 0.18119465, -0.18847072, 0.0, 0.0], [0, 0, 0], -9.15205218842354]
[[-0.24947214, 1.0953147, -0.501445, -0.6377299, 0.17177115, -0.18846957, 0.0, 0.0], [0, 0, 0], -8.998189949611259]
