[[0.03897772, 1.2082872, 0.21908376, -0.7269975, -0.044157907, -0.04895384, 0.0, 0.0], [0, 0, 0], -23.778300545861725]
[[0.041143797, 1.1913314, 0.2190907, -0.75366694, -0.04660505, -0.048947386, 0.0, 0.0], [0, 0, 0], -24.893084715716128]
[[0.043309975, 1.1737756, 0.21909757, -0.7803364, -0.049051832, -0.04894028, 0.0, 0.0], [0, 0, 0], -25.95556694453944]
[[0.04547634, 1.15562, 0.21910444, -0.80700594, -0.05149829, -0.048933785, 0.0, 0.0], [0, 0, 0], -26.96517520146395]
[[0.04764261, 1.1368641, 0.21911123, -0.83367544, -0.05394439, -0.048926644, 0.0, 0.0], [0, 0, 0], -27.921318142075165]
[[0.049809076, 1.1175084, 0.21911804, -0.86034507, -0.056390177, -0.048920285, 0.0, 0.0], [0, 0, 0], -28.823612432182557]
[[0.05197563, 1.0975528, 0.2191248, -0.8870147, -0.058835626, -0.04891329, 0.0, 0.0], [0, 0, 0], -29.67163632183241]
[[0.05414219, 1.076997, 0.21913151, -0.9136845, -0.061280742, -0.048906792, 0.0, 0.0], [0, 0, 0], -30.465055876926357]
[[0.056307983, 1.0558199, 0.21904933, -0.941306, -0.06372581, -0.048901204, 0.0, 0.0], [0, 0, 0], -31.29215222039562]
[[0.058473777, 1.034043, 0.21904929, -0.9679731, -0.06617086, -0.048901238, 0.0, 0.0], [0, 0, 0], -31.973273613863995]
[[0.06063957, 1.0116662, 0.21904925, -0.99464023, -0.06861591, -0.048901163, 0.0, 0.0], [0, 0, 0], -32.59912000511051]
[[0.06280537, 0.9886893, 0.21904919, -1.0213073, -0.07106098, -0.04890121, 0.0, 0.0], [0, 1, 0], -33.16951964366589]
[[0.06489973, 0.96511835, 0.21009739, -1.04763, -0.07170861, -0.012952815, 0.0, 0.0], [0, 1, 0], -33.32141056179617]
[[0.06691551, 0.9409524, 0.20023358, -1.073977, -0.07037732, 0.026625827, 0.0, 0.0], [0, 1, 0], -33.22077044121599]
[[0.06886463, 0.9161954, 0.19185872, -1.1001686, -0.06736034, 0.06033948, 0.0, 0.0], [0, 0, 0], -32.92307934929153]
[[0.07081375, 0.89083856, 0.19185863, -1.1268361, -0.06434338, 0.060339577, 0.0, 0.0], [0, 0, 1], -32.736278548151574]
